survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,3,male,-0.5046278842698593,1,0,-0.8923727272688159,S,Third,man,True,Southampton,no,False,1
1,3,female,-0.20910409520978374,0,0,-0.8353175933037065,S,Third,woman,False,Southampton,yes,True,0
1,1,female,0.45582443017538593,1,0,2.9831500761389926,S,First,woman,False,Southampton,yes,False,1
0,3,male,0.45582443017538593,0,0,-0.8247518277546122,S,Third,man,True,Southampton,no,True,0
0,3,male,0.06419022059966971,0,0,-0.7902398111650505,Q,Third,man,True,Queenstown,no,True,0
0,1,male,1.8595624282107448,0,0,2.878548997202959,S,First,man,True,Southampton,no,True,0
0,3,male,-1.9822468295702362,3,1,0.27620094246101956,S,Third,child,False,Southampton,no,False,4
1,3,female,-0.13522314794476492,0,2,-0.5641324284144311,S,Third,woman,False,Southampton,yes,False,2
1,2,female,-1.09567546239001,1,0,1.0365810522733634,C,Second,child,False,Cherbourg,yes,False,1
1,3,female,-1.8344849350401986,1,1,-0.09360085175728301,S,Third,child,False,Southampton,yes,False,2
1,1,female,2.1550862172708207,0,0,0.7389814735113523,S,First,woman,False,Southampton,yes,True,0
0,3,male,-0.6523897787998968,0,0,-0.8247518277546122,S,Third,man,True,Southampton,no,True,0
0,3,male,0.7513482192354616,1,5,1.138367411267119,S,Third,man,True,Southampton,no,False,6
0,3,female,-1.09567546239001,0,0,-0.8413020429107136,S,Third,child,False,Southampton,no,True,0
1,2,female,1.9334433754757638,0,0,-0.15276913883221124,S,Second,woman,False,Southampton,yes,True,0
0,3,male,-1.9822468295702362,4,1,0.956636243822696,Q,Third,child,False,Queenstown,no,False,5
1,2,male,0.06419022059966971,0,0,-0.40634751201047564,S,Second,man,True,Southampton,yes,True,0
0,3,female,0.16030064111531067,1,0,0.016283109953298423,S,Third,woman,False,Southampton,no,False,1
1,3,female,0.06419022059966971,0,0,-0.8944858803786349,C,Third,woman,False,Cherbourg,yes,True,0
0,2,male,0.45582443017538593,0,0,0.6924921050953373,S,Second,man,True,Southampton,no,True,0
1,2,male,0.3819434829103671,0,0,-0.40634751201047564,S,Second,man,True,Southampton,yes,True,0
1,3,female,-1.021794515124991,0,0,-0.8265099711419814,Q,Third,child,False,Queenstown,yes,True,0
1,1,male,-0.0613422006797461,0,0,1.4954902868265083,S,First,man,True,Southampton,yes,True,0
0,3,female,-1.5389611459801231,3,1,0.27620094246101956,S,Third,child,False,Southampton,no,False,4
1,3,female,0.6774672719704428,1,5,1.1478766002613041,S,Third,woman,False,Southampton,yes,False,6
0,3,male,0.06419022059966971,0,0,-0.8944858803786349,C,Third,man,True,Cherbourg,no,True,0
1,3,female,0.06419022059966971,0,0,-0.8391888898008947,Q,Third,woman,False,Queenstown,yes,True,0
0,3,male,0.06419022059966971,0,0,-0.837785756135975,S,Third,man,True,Southampton,no,True,0
0,1,male,0.8252291665004804,0,0,0.8379446599503898,C,First,man,True,Cherbourg,no,True,0
1,3,female,0.06419022059966971,0,0,-0.8501096650724387,Q,Third,woman,False,Queenstown,yes,True,0
0,2,male,2.7461337953909712,0,0,-0.6176628229923627,S,Second,man,True,Southampton,no,True,0
0,1,male,0.9729910610305184,1,0,2.890171339306964,S,First,man,True,Southampton,no,False,1
1,3,male,0.06419022059966971,0,0,-0.8941308706561854,C,Third,man,True,Cherbourg,yes,True,0
0,3,male,-0.5785088315348781,0,0,-0.8247518277546122,S,Third,man,True,Southampton,no,True,0
0,3,female,-0.8001516733299344,2,0,0.016283109953298423,S,Third,woman,False,Southampton,no,False,2
1,3,female,-1.09567546239001,1,0,-0.5549697965302566,C,Third,child,False,Cherbourg,yes,False,1
0,3,female,0.8252291665004804,1,0,-0.7043021004949365,S,Third,woman,False,Southampton,no,False,1
0,2,female,-0.13522314794476492,1,0,0.26986148313156305,S,Second,woman,False,Southampton,no,False,1
0,3,male,0.06419022059966971,0,0,-0.837785756135975,C,Third,man,True,Cherbourg,no,True,0
